,Country/Territory,2000,2011,2021,latitude,longitude
0,Albania,1887.0,2172.4,2103.0,41153332,20168331
1,Andorra,-,64.5,57.8,42546245,1601554
2,Angola,-,8362.6,14503.2,-11.202692,17873887
3,Argentina,22831.0,26264.8,29757.1,–38416097,–63616672
4,Armenia,-,2138.6,2087.5,40069099,45038189
5,Aruba,41.0,78.1,78.8,1252111,–69968338
6,Australia,13131.0,15947.3,18168.8,–25274398,133775136
7,Austria,6041.0,6286.0,6778.6,47516231,14550072
8,Bahamas,183.0,235.9,274.7,2503428,–7739628
9,Barbados,184.0,199.3,208.3,13193887,–59543198
10,Bulgaria,6142.0,5744.6,5227.1,42733883,2548583
11,Burundi,-,4352.5,5434.6,-3373056,29918886
12,Chad,-,2179.8,7131.9,15454166,18732207
13,Chile,9405.0,11680.5,13762.5,–35675147,–71542969
14,China,847913.0,968974.9,1079960.8,3586166,104195397
15,Colombia,23967.0,28724.0,34882.8,4570868,–74297333
16,Costa Rica,2286.0,3075.6,3603.3,9748917,–83753428
17,Cuba,7821.0,8264.8,8459.2,21521757,–77781167
18,Dominica,39.0,42.7,47.6,15414999,–61370976
19,Ecuador,6934.0,8692.6,11175.2,–1831239,–78183406
20,El Salvador,3337.0,3449.4,4095.7,13794185,–8889653
21,Eritrea,-,2595.5,1718.3,15179384,39782334
22,Estonia,1014.0,1001.3,960.0,58595272,25013607
23,Gambia,652.0,802.9,1126.4,13443182,–15310139
24,Georgia,3379.0,3155.2,2803.6,42315407,43356892
25,Ghana,9168.0,12655.5,16732.9,7946527,-1023194
26,Guam,-,114.5,112.6,13444304,144793731
27,Guatemala,5079.0,6936.9,10099.3,15783471,–90230759
28,Guinea,-,4722.8,6146.5,9945587,–9696645
29,Guyana,514.0,422.6,489.0,4860416,–5893018
30,Honduras,3029.0,4007.6,5887.6,15199999,–86241905
31,India,567714.0,737003.3,893910.0,20593684,7896288
32,Indonesia,124758.0,154277.6,179720.5,–0.789275,113921327
33,Israel,3821.0,4707.8,5407.2,31046051,34851612
34,Jamaica,1484.0,1641.5,1991.4,18109581,–77297508
35,Kiribati,-,60.3,66.8,-3370417,-168734039
36,Kuwait,1084.0,1868.9,3152.8,2931166,47481766
37,Liberia,-,1900.3,2518.2,6428055,–9429499
38,Liechtenstein,-,26.7,27.8,47166,9555373
39,Madagascar,7249.0,9770.3,13919.8,–18.766947,46869107
40,Malta,273.0,316.0,336.3,35937496,14375416
41,Mauritania,-,1756.4,2386.6,2100789,–10940835
42,Mayotte,-,-,139.1,-128275,45166244
43,Mongolia,-,1742.0,2042.7,46862496,103846656
44,Montenegro,-,455.1,454.5,42708678,1937439
45,Mozambique,8722.0,10767.4,14317.6,–18665695,35529562
46,Namibia,-,1216.3,1375.3,–2295764,1849041
47,Nauru,-,6.2,6.6,-0522778,166931503
48,Nepal,-,16135.9,17977.5,28394857,84124008
49,Nicaragua,-,3163.3,4066.0,12865416,–85207229
50,Nigeria,50671.0,75551.4,96812.4,9081999,8675277
51,Niue,-,0.8,-,-19054445,-169867233
52,Paraguay,2693.0,3648.5,4400.2,-23442503,–58443832
53,Portugal,7309.0,8028.8,7640.6,39399872,–8224454
54,Puerto Rico,2517.0,2546.5,2052.8,18220833,–66590149
55,Samoa,-,93.0,104.8,-13759029,–172104629
56,San Marino,-,23.8,25.4,4394236,12457777
57,Senegal,4219.0,5785.5,8036.7,14497401,–14452362
58,Serbia,-,7177.2,6521.1,44016521,21005859
59,Seychelles,-,39.6,67.2,–4679574,55491977
60,Somalia,-,4275.7,6917.0,5152149,46199616
61,Sri Lanka,11757.0,13893.8,14406.6,7873054,80771797
62,Togo,1991.0,3037.3,4121.1,8619543,0824782
63,Tokelau,-,0.7,-,–8967363,-171855881
64,Tonga,65.0,53.0,57.5,-21178986,-175198242
65,Tuvalu,-,5.7,7.3,–7.109535,17764933
66,Uganda,8405.0,13932.2,20127.6,1373333,32290275
67,Uruguay,2166.0,2237.1,2380.4,-32522779,–55765835
68,Vanuatu,-,125.5,161.8,–15376706,166959158
69,Yemen,-,10902.1,15412.9,15552727,48516388
70,Zambia,3692.0,5717.3,8441.9,-13133897,27849332
